condition,task,ndisc,high_quality_count,low_quality_count
disc,1,115,0.875,0.125
ndisc,1,115,0.6575242006453504,0.34247579935464945
disc,2,115,0.7101449275362319,0.2898550724637681
ndisc,2,115,0.4398520774418099,0.5601479225581901
disc,3,115,0.8021978021978022,0.1978021978021978
ndisc,3,115,0.46050692602416743,0.5394930739758326
disc,4,115,0.8571428571428571,0.14285714285714285
ndisc,4,115,0.6452599388379204,0.3547400611620795
disc,5,115,0.9775280898876404,0.02247191011235955
ndisc,5,115,0.7661673364998174,0.23383266350018272
disc,6,115,0.8837209302325582,0.11627906976744186
ndisc,6,115,0.6366179670500466,0.36338203294995336
disc,7,115,0.08450704225352113,0.9154929577464789
ndisc,7,115,0.15224818914855814,0.8477518108514418
disc,8,115,0.9444444444444444,0.05555555555555555
ndisc,8,115,0.7484253427195258,0.2515746572804743
disc,9,115,0.8962264150943396,0.10377358490566038
ndisc,9,115,0.637801204819277,0.36219879518072284
disc,10,115,0.9285714285714286,0.07142857142857142
ndisc,10,115,0.7167616875712657,0.2832383124287343
disc,11,115,0.9,0.1
ndisc,11,115,0.735427515538384,0.26457248446161596
disc,12,115,0.66,0.34
ndisc,12,115,0.42717287488061134,0.5728271251193887
